,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amount in 000's,,"Kindly do not edit - This sheet is automated, You may use Filters",,,,,,,,,,,,,,,,,
2630,TAK-360-2001,Takeda,Unknown,Narcolepsy NT1/NT2,CNS,  $334 ,  $300 ,4,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $123 ,  $175 ,  $299 
2301,2019nCoV-318,Novavax,PPD,COVID-19,Vaccine-COVID,"  $1,415 ","  $1,415 ",0,291,  - ,  - ,  - ,"  $1,296 ","  $1,296 ",  $159 ,  $128 ,  - ,  - ,  $287 
2164,C4931020,Pfizer,(No Info),Pneumococcal,Vaccine-Other,  $319 ,  $319 ,0,19,  - ,  - ,  - ,  $22 ,  $22 ,  $145 ,  $48 ,  $81 ,  $8 ,  $282 
2287,NN9838-4968,Novo Norsdisk,(No Info),Obesity,General Medicine,  $788 ,  $788 ,4,3,  - ,  - ,  - ,  $12 ,  $12 ,  - ,  $75 ,  $132 ,  $69 ,  $275 
2515,NN9490-8293,Novo Norsdisk,None,Obstructive Sleep Apnea,Respiratory,  $269 ,  $269 ,5,0,  - ,  - ,  - ,  - ,  - ,  - ,  $42 ,  $205 ,  $22 ,  $269 
2298,VP-VHX-896-3201,Vanda Pharmaceuticals Inc,(No Info),Major Depressive Disorder,Psychiatry,  $333 ,  $333 ,7,4,  - ,  - ,  - ,  $13 ,  $13 ,  $17 ,  $101 ,  $61 ,  $75 ,  $255 
2142,VRB-101-201,Verdiva Bio,Parexel,Obesity,General Medicine,  $325 ,  $325 ,0,11,  - ,  - ,  - ,  $39 ,  $39 ,  $145 ,  $82 ,  $14 ,  - ,  $241 
2545,BHV2000-202,Biohaven,(No Info),Obesity,General Medicine,  $284 ,  $284 ,0,9,  - ,  - ,  - ,  $21 ,  $21 ,  $86 ,  $52 ,  $93 ,  $10 ,  $241 
2509,GSBR-1290-17,"Gasherbrum Bio, Inc.",Parexel,Type 2 Diabetes,Endocrine & Metabolism,  $322 ,  $322 ,0,12,  - ,  - ,  - ,  $78 ,  $78 ,  $90 ,  $70 ,  $66 ,  $12 ,  $238 
1289,ITI-007-505,Intra-Cellular Therapies,IQVIA,Major Depressive Disorder,Psychiatry,  $391 ,  $391 ,10,10,  - ,  $4 ,  ($1),  - ,  $3 ,  - ,  $42 ,  $110 ,  $81 ,  $233 
1802,J4M-MC-PWMP,Lilly,PPD,Obesity,General Medicine,  $497 ,  $497 ,0,27,  $75 ,  $125 ,  $92 ,  $71 ,  $363 ,  $76 ,  $56 ,  $71 ,  $20 ,  $223 
2053,M25-056,Abbvie,(No Info),Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $390 ,  $390 ,6,16,  - ,  $20 ,  $69 ,  $134 ,  $223 ,  $56 ,  $59 ,  $54 ,  $44 ,  $213 
2168,301160,GSK,IQVIA,MASH,Endocrine & Metabolism,"  $1,103 ","  $1,103 ",11,29,  - ,  - ,  - ,  $41 ,  $41 ,  $81 ,  $11 ,  $49 ,  $70 ,  $212 
1888,D6973C00001,AstraZeneca,None,Cardiovascular Disease,Cardiovascular,  $327 ,  $327 ,10,10,  - ,  - ,  - ,  $16 ,  $16 ,  $56 ,  $56 ,  $74 ,  $24 ,  $210 
2552,J3R-MC-YDAF,Eli Lilly,(No Info),Obesity,General Medicine,  $255 ,  $255 ,2,4,  - ,  - ,  - ,  - ,  - ,  $64 ,  $59 ,  $43 ,  $42 ,  $208 
2548,ELV001-201,Eisai,Novotech,Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $239 ,  $239 ,7,,  - ,  - ,  - ,  - ,  - ,  $30 ,  $22 ,  $62 ,  $89 ,  $203 
2286,D8750C00011,AstraZeneca,None,Obesity,General Medicine,  $800 ,  $240 ,40,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $78 ,  $121 ,  $199 
1687,AR882-302,Arthrosi,IQVIA,Gout,Rheumatoid and Autoimmune,"  $3,085 ","  $3,085 ",0,116,  $836 ,  $577 ,  $531 ,  $237 ,"  $2,182 ",  $159 ,  $20 ,  - ,  - ,  $179 
2284,D8750C00010,AstraZeneca,None,Obesity,General Medicine,  $800 ,  $240 ,40,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $67 ,  $105 ,  $173 
2603,821P203,Supernus Pharmaceuticals,Clinical Research Corp. (CRC),Major Depressive Disorder,Psychiatry,  $152 ,  $152 ,7,0,  - ,  - ,  - ,  - ,  - ,  $18 ,  $34 ,  $62 ,  $56 ,  $169 
2710,R5713-5715-ALG-2556,Regeneron,Unknown,Birch Pollen Allergy,Allergy/Immunology,  $600 ,  $345 ,30,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $168 ,  $168 
2658,DRI19694,Sanofi,Unknown,Rheumatoid Arthritis,Rheumatoid and Autoimmune,  $180 ,  $153 ,9,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $113 ,  $40 ,  $153 
2648,TAK-360-2002,Takeda,Unknown,Narcolepsy NT1/NT2,CNS,  $168 ,  $151 ,4,0,  - ,  - ,  - ,  - ,  - ,  - ,  $6 ,  $106 ,  $39 ,  $151 
2132,FYU-981-CRYS-301,Crystal therapeutics,ICON,Gout,Rheumatoid and Autoimmune,  $231 ,  $231 ,6,3,  - ,  - ,  - ,  $45 ,  $45 ,  $20 ,  $51 ,  $41 ,  $36 ,  $148 
1632,C4931001,Pfizer,ICON,Pneumococcal,Vaccine-Other,"  $1,703 ","  $1,703 ",0,380,  $308 ,  $133 ,  $96 ,  $696 ,"  $1,234 ",  $71 ,  $75 ,  - ,  - ,  $146 
2623,D7260C00015,AstraZeneca,IQVIA,Obesity,General Medicine,  $720 ,  $626 ,36,0,  - ,  - ,  - ,  - ,  - ,  - ,  $1 ,  $44 ,  $97 ,  $142 
2645,"  223,957 ",GSK,Unknown,Asthma,Respiratory,  $160 ,  $144 ,8,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $51 ,  $90 ,  $141 
