,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Amount in 000's,,"Kindly do not edit - This sheet is automated, You may use Filters",,,,,,,,,,,,,,,,,
1299,mRNA-1345-P303,Moderna,PPD,RSV,Vaccine-Respiratory,"  $1,600 ","  $1,600 ",0,152,  $134 ,  $98 ,  $153 ,  $131 ,  $517 ,  $90 ,  $11 ,  - ,  - ,  $101 
2638,D7261C00005,AstraZeneca,Unknown,Type 2 Diabetes,Endocrine & Metabolism,  $281 ,  $253 ,12,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $26 ,  $75 ,  $101 
408,C3671013,Pfizer,ICON,RSV Vaccine,Vaccine-Respiratory,"  $1,423 ","  $1,423 ",0,947,  $109 ,  $30 ,  $246 ,  $85 ,  $470 ,  $78 ,  $21 ,  - ,  - ,  $100 
2777,C6491020,Pfizer,,Obesity,General Medicine,  $720 ,  $594 ,36,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $5 ,  $92 ,  $98 
2782,783653,,Fortrea,Type 2 Diabetes,Endocrine & Metabolism,"  $2,784 ",  $816 ,139,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $97 ,  $97 
2608,D7265C00001,AstraZeneca,(No Info),Chronic Kidney Disease,Nephrology/Urology,  $600 ,  $504 ,30,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $41 ,  $55 ,  $96 
1632,C4931001,Pfizer,ICON,Pneumococcal,Vaccine-Other,"  $1,701 ","  $1,701 ",0,386,  $308 ,  $133 ,  $96 ,  $696 ,"  $1,234 ",  $71 ,  $23 ,  - ,  - ,  $94 
2781,783652,,Fortrea,Type 2 Diabetes,Endocrine & Metabolism,"  $2,592 ",  $778 ,130,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $93 ,  $93 
2169,306246,GSK,IQVIA,MASH,Endocrine & Metabolism,  $225 ,  $225 ,7,0,  - ,  - ,  - ,  - ,  - ,  $20 ,  $4 ,  $21 ,  $46 ,  $91 
2543,"  224,349 ",GSK,IQVIA,MMRVNS Vaccine,Vaccine-Other,  $86 ,  $86 ,15,0,  - ,  - ,  - ,  - ,  - ,  - ,  $22 ,  $27 ,  $40 ,  $89 
2530,MDD3011,Johnson&Johnson,None,Major Depressive Disorder,Psychiatry,  $89 ,  $89 ,5,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $45 ,  $43 ,  $89 
2647,TTP399-302,vTv Therapeutics,Medpace,Type 1 Diabetes,Endocrine & Metabolism,  $81 ,  $81 ,2,1,  - ,  - ,  - ,  - ,  - ,  $18 ,  $25 ,  $28 ,  $12 ,  $84 
2304,VP-VYV-683-3102,Vanda Pharmaceuticals Inc,(No Info),Schizophrenia,CNS,  $65 ,  $65 ,3,0,  - ,  - ,  - ,  - ,  - ,  $22 ,  - ,  $21 ,  $41 ,  $83 
2746,D7961C00001,AstraZeneca,,Dyslipidemia,Endocrine & Metabolism,"  $1,216 ",  $365 ,61,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $17 ,  $65 ,  $82 
2789,UAB02022,,IQVIA,Rheumatoid Arthritis,Rheumatoid and Autoimmune,"  $5,440 ","  $1,632 ",272,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $81 ,  $81 
2664,K-304 P003,"Kallyope, Inc",Confidence Pharmaceutical Research ((CFR)),Migraine,CNS,  $87 ,  $79 ,16,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $44 ,  $34 ,  $79 
2132,FYU-981-CRYS-301,Crystal therapeutics,ICON,Gout,Rheumatoid and Autoimmune,  $130 ,  $130 ,3,3,  - ,  - ,  - ,  $45 ,  $45 ,  $20 ,  $15 ,  $23 ,  $20 ,  $78 
2571,ENERGI-F703-04,BARDA,Syneos Health,Diabetic Foot Ulcer,Endocrine & Metabolism,  $94 ,  $85 ,5,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $32 ,  $46 ,  $77 
2696,382-201-00034,Otsuka Pharmaceutical,Syneos Health,General Anxiety Disorder,Psychiatry,  $100 ,  $90 ,5,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $21 ,  $54 ,  $75 
1679,20230143,Amgen,ICON,Obesity,General Medicine,  $631 ,  $631 ,0,22,  $254 ,  $124 ,  $99 ,  $44 ,  $520 ,  $43 ,  $32 ,  - ,  - ,  $75 
2770,"295,449",,Parexel,COPD,Respiratory,  $235 ,  $211 ,16,,  - ,  - ,  - ,  - ,  - ,  - ,  $4 ,  $30 ,  $37 ,  $71 
2695,382-201-00033,Otsuka Pharmaceutical,Syneos Health,General Anxiety Disorder,Psychiatry,  $80 ,  $72 ,4,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $21 ,  $48 ,  $70 
2008,ESK-001-010,Alumis Inc.,Syneos Health,Systemic Lupus Erythematosus (SLE),Allergy/Immunology,  $192 ,  $192 ,0,7,  $39 ,  $62 ,  $40 ,  $40 ,  $181 ,  $44 ,  $26 ,  - ,  - ,  $69 
294,TILD-21-01,Sun Pharma,IQVIA,Psoriatic Arthritis,Rheumatoid and Autoimmune,  $281 ,  $281 ,0,12,  $22 ,  $15 ,  $40 ,  $26 ,  $103 ,  $27 ,  $17 ,  $15 ,  $10 ,  $68 
2723,26-2572,No Information,ICON,Gout,Rheumatoid and Autoimmune,  $960 ,  $288 ,48,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $14 ,  $53 ,  $66 
2724,26-2579,No Information,ICON,Gout,Rheumatoid and Autoimmune,  $960 ,  $288 ,48,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $14 ,  $53 ,  $66 
2729,MRT-8102-002,Monte Rosa Therapeutics,PPD,Atherosclerotic cardiovascular disease,Cardiovascular,  $288 ,  $182 ,14,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $31 ,  $33 ,  $65 
2009,77242113PSA3002,Janssen,(No Info),Psoriatic Arthritis,Rheumatoid and Autoimmune,  $167 ,  $167 ,0,5,  $20 ,  $52 ,  $46 ,  $26 ,  $144 ,  $33 ,  $13 ,  $8 ,  $10 ,  $64 
2012,FpA-AS-30093,Teva Pharmaceuticals,PPD,Asthma,Respiratory,  $93 ,  $87 ,6,1,  $17 ,  $28 ,  $4 ,  $2 ,  $51 ,  - ,  $3 ,  $39 ,  $17 ,  $58 
2634,D7261C00006,AstraZeneca,Unknown,Type 2 Diabetes,Endocrine & Metabolism,  $240 ,  $140 ,12,,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $23 ,  $35 ,  $58 
2134,1378-0018,Boehringer Ingelheim,(No Info),Heart Failure,Cardiovascular,  $174 ,  $174 ,3,5,  - ,  $19 ,  - ,  $13 ,  $31 ,  $5 ,  $10 ,  $28 ,  $13 ,  $56 
2040,221531,GSK,None,COPD,Respiratory,  $55 ,  $55 ,0,2,  - ,  - ,  - ,  $32 ,  $32 ,  $31 ,  $18 ,  $5 ,  $3 ,  $56 
1470,EBSI-CV-317-008,Emergent,PPD,Chikungunya,Vaccine-Other,  $256 ,  $256 ,0,47,  $46 ,  $68 ,  $19 ,  $15 ,  $148 ,  $23 ,  $20 ,  $5 ,  $8 ,  $56 
2678,FYU-981-CRYS-201,Crystalys therapeutics,ICON,Gout,Rheumatoid and Autoimmune,  $62 ,  $62 ,2,1,  - ,  - ,  - ,  - ,  - ,  - ,  $22 ,  $22 ,  $11 ,  $56 
2126,DQB104CT,Chugai,IQVIA,Celiac Disease,Gastroenterology,  $40 ,  $40 ,1,1,  - ,  - ,  - ,  - ,  - ,  $22 ,  $12 ,  $10 ,  $12 ,  $56 
2501,C4591076,Pfizer,None,COVID-19,Vaccine-COVID,  $483 ,  $483 ,0,83,  - ,  - ,  - ,  $465 ,  $465 ,  $6 ,  $49 ,  - ,  - ,  $55 
1790,mRNA-1010-P304,Moderna,Parexel,Influenza,Vaccine-Influenza,"  $15,325 ","  $15,325 ",0,"2,654",  $263 ,"  $5,819 ",  $473 ,  $140 ,"  $6,696 ",  $55 ,  - ,  - ,  - ,  $55 
2660,ML-007C-MA-212,Maplight Therapeutics,Syneos Health,Schizophrenia,CNS,  $147 ,  $132 ,4,0,  - ,  - ,  - ,  - ,  - ,  - ,  - ,  $20 ,  $35 ,  $54 
